"","have.liberal.policy","opinion","rescale.opinion.","nyt.bypolicygroup.full","rescale.nyt.bypolicygroup.full.","rescale.nyt.bypolicygroup.full....rescale.opinion.","EWM.full","rescale.EWM.full.","Berry.full","rescale.Berry.full.","X.legislative.share.dem.mean.full.","rescale.legislative.share.dem.mean.full.","X.gov.control.mean.dem.full.","rescale.gov.control.mean.dem.full.","Powerful.full.strong.balance","ostate.full","issue.full","term.limits.full","term.limits.full...rescale.opinion.","dirdem.full","dirdem.full...rescale.opinion.","prof.full","rescale.prof.full.","rescale.prof.full....rescale.opinion.","turnout.full","rescale.turnout.full.","rescale.turnout.full....rescale.opinion.","onepartyness.full","rescale.onepartyness.full.","rescale.onepartyness.full....rescale.opinion.","courtelected.full","rescale.opinion....courtelected.full","congruence","size.of.majority","rescale.size.of.majority.","conservative.opinion.majority","flip.EWM.against","flip.Berry.against","flip.gov.control.mean.dem.full","flip.legislative.share.dem.mean.full","flip.powerful.balance.against","policy.direction.full"
"1682",0,55.7487552522362,0.19759937179642,5.55837127188234,0.0375652704265294,0.00742287383764486,-16,-0.0998642100747415,64.0452270507812,0.427650742166123,0.617460327015983,0.295766318563595,0.5,0.0756055129902774,0,"NM","suicide",0,0,0,0,0.108999997377396,-0.324690098154186,-0.0641585594237852,55.9300003051758,-0.385188310571827,-0.0761129681923174,9,0.261300322730032,0.0516327796216562,1,0.19759937179642,0,55.7487552522362,-0.530674812076796,0,0.0998642100747415,-0.427650742166123,0.0756055129902774,0.295766318563595,0,"liberal"
"1683",0,59.9571529182427,0.304383747201991,5.55837127188234,0.0375652704265294,0.0114342577770832,-12.5819989013672,0.139698398090662,49.0467491149902,0.0286282346054342,0.520922059814135,-0.0453694282964366,0.5,0.0756055129902774,0,"NV","suicide",1,0.304383747201991,1,0.304383747201991,0.137999996542931,-0.19796045678114,-0.0602559456328612,53.0299987792969,-0.630380552300216,-0.191877594672401,2,-0.527105823438168,-0.160442445710101,1,0.304383747201991,0,59.9571529182427,-0.329153083151599,0,-0.139698398090662,-0.0286282346054342,0.0756055129902774,-0.0453694282964366,0,"liberal"
"1684",0,53.2668335270797,0.134622799176597,5.55837127188234,0.0375652704265294,0.00505714185664522,-3.09999990463257,0.804277590645076,54.8521690368652,0.183076787624369,0.540930297639635,0.025333365028865,0.333333333333333,-0.263940203971332,0,"NY","suicide",0,0,0,0,0.481000006198883,1.30094538685454,0.175136909554239,57.0299987792969,-0.292184534759738,-0.0393346999454675,0,-0.752364722343367,-0.101285444923587,0,0,0,53.2668335270797,-0.649523171192338,0,-0.804277590645076,-0.183076787624369,-0.263940203971332,0.025333365028865,0,"liberal"
"1685",0,49.685868308496,0.0437589681978102,5.55837127188234,0.0375652704265294,0.00164381747393664,-10.1000003814697,0.313657979065386,20.6846103668213,-0.725923778707354,0.410515484710534,-0.435511395289441,0.111111111111111,-0.716667826586812,0,"OH","suicide",1,0.0437589681978102,1,0.0437589681978102,0.303999990224838,0.527457483652378,0.0230809952528414,63.4000015258789,0.246392855394251,0.0107818971233647,12,0.599188671087832,0.0262198780026206,1,0.0437589681978102,1,50.314131691504,-0.790915127497281,1,0.313657979065386,-0.725923778707354,0.716667826586812,0.435511395289441,0,"liberal"
"1686",0,33.9807648500758,-0.354744166863258,5.55837127188234,0.0375652704265294,-0.0133260605604522,-27.2999992370605,-0.89186433277222,38.6257095336914,-0.248615187221805,0.626871450079812,0.329022255180506,0.5,0.0756055129902774,0,"OK","suicide",1,-0.354744166863258,1,-0.354744166863258,0.187000006437302,0.016168986662753,-0.00573585370270144,54.9700012207031,-0.466355277374616,0.165436814334542,6,-0.0765880256277679,0.0271691553430244,1,-0.354744166863258,1,66.0192351499242,-0.0388665206237674,1,-0.89186433277222,-0.248615187221805,-0.0756055129902774,-0.329022255180506,0,"liberal"
"1687",1,61.3205662783663,0.338979157530352,5.55837127188234,0.0375652704265294,0.0127338437215848,-7.90000009536743,0.46785272368209,67.4226379394531,0.517504057124482,0.478703706628746,-0.194555754740284,1,1.09424266387511,-1,"OR","suicide",0,0,1,0.338979157530352,0.158999994397163,-0.106190723212854,-0.0359964418922319,68.2300033569336,0.65476470138823,0.221951586857194,2,-0.527105823438168,-0.178677887958412,1,0.338979157530352,1,61.3205662783663,-0.263865189901589,0,-0.46785272368209,-0.517504057124482,1.09424266387511,-0.194555754740284,1,"liberal"
"1688",0,51.6212975198771,0.0928687757496113,5.55837127188234,0.0375652704265294,0.00348864067521487,-10.6000003814697,0.278613723482609,45.4938201904297,-0.0658945972933935,0.461188573804167,-0.256448702383241,0.555555555555556,0.188787418644147,0,"PA","suicide",0,0,0,0,0.33899998664856,0.680407039599521,0.0631885687790248,60.2999992370605,-0.0157092517169336,-0.0014588989748941,8,0.148670873277432,0.0138068819909007,1,0.0928687757496113,0,51.6212975198771,-0.728320682144959,0,-0.278613723482609,0.0658945972933935,0.188787418644147,-0.256448702383241,0,"liberal"
"1689",0,56.80260335129,0.224339836923756,5.55837127188234,0.0375652704265294,0.00842738664148441,-2.09999990463257,0.87436610181063,74.7598037719727,0.712703484787349,0.843202925390667,1.09346936551862,0.222222222222222,-0.490304015279072,-1,"RI","suicide",0,0,0,0,0.133000001311302,-0.219810374739906,-0.0493122236233001,58.4000015258789,-0.176352166531347,-0.0395628162807936,4,-0.301846924532968,-0.0677162898256633,0,0,0,56.80260335129,-0.480210643098349,0,-0.87436610181063,-0.712703484787349,-0.490304015279072,1.09346936551862,1,"liberal"
"1690",0,37.682770010835,-0.260809054211463,5.55837127188234,0.0375652704265294,-0.00979736265114098,-21.3999996185303,-0.478342143632092,36.2477607727051,-0.311878611785396,0.519076274500953,-0.0518918506436205,0.222222222222222,-0.490304015279072,-1,"SC","suicide",0,0,0,0,0.123999997973442,-0.259140279159997,0.0675861311158134,52.8699989318848,-0.643908380100681,0.167937135612894,5,-0.189217475080368,0.0493496307159918,0,0,1,62.317229989165,-0.216139330774842,1,-0.478342143632092,-0.311878611785396,0.490304015279072,0.0518918506436205,-1,"liberal"
"1691",0,47.0459704474808,-0.0232261094007418,5.55837127188234,0.0375652704265294,-0.000872495080595024,-24.1000003814697,-0.66758117725238,13.08078956604,-0.928217348492164,0.355158740447627,-0.631124646337159,0,-0.943031637894551,-1,"SD","suicide",1,-0.0232261094007418,1,-0.0232261094007418,0.0640000030398369,-0.521339522577807,0.0121086887863227,63.2299995422363,0.232019356933776,-0.00538890696723364,16,1.04970646889823,-0.0243805972852967,1,-0.0232261094007418,1,52.9540295525192,-0.664501983265466,1,-0.66758117725238,-0.928217348492164,0.943031637894551,0.631124646337159,-1,"liberal"
